,JPM,JNJ,GOOGL,AVGO,PEP,AMZN,PG,XOM,CVX,NVDA,ABBV,MRK,AAPL,MSFT,TSLA,UNH,META,V
JPM,1.0,0.36384449680190173,0.42440882282005393,0.41759153867621285,0.3639593458145262,0.3264180721693677,0.323358584760334,0.5525573032997808,0.6031405477035048,0.3626338837964573,0.34477031860957685,0.3060583878283259,0.4348193367686007,0.4491107482646163,0.29451946665315804,0.36470542330606753,0.3297385576946881,0.5997584117917196
JNJ,0.36384449680190173,1.0,0.2580231022967832,0.1414698513750465,0.5574336215966177,0.16160721061867386,0.542985886725278,0.29602459251503316,0.3391767660018681,0.12053457275220042,0.4489195474704876,0.5166314895764246,0.32094649989846596,0.32619802096222905,0.07728490435736665,0.3999359942092592,0.15871207677283233,0.41204729395490436
GOOGL,0.42440882282005393,0.2580231022967832,1.0,0.493873294886229,0.3020495034342433,0.6433063286116553,0.26719913426698,0.282302392581186,0.3305751325592554,0.5793535532028269,0.27310547928050816,0.22649608631981905,0.6273834424874731,0.7198911160702929,0.39740382051463835,0.30589785006086057,0.6141328194292807,0.5499716362308399
AVGO,0.41759153867621285,0.1414698513750465,0.493873294886229,1.0,0.23480312068768688,0.47298798605335246,0.18873649085827807,0.2796076196725433,0.35523532578937345,0.6409088275571906,0.21487177768398497,0.1825936932021047,0.5291656084329089,0.5647153658518069,0.4213885330042083,0.23866520149879472,0.44560125883240015,0.4470086738865002
PEP,0.3639593458145262,0.5574336215966177,0.3020495034342433,0.23480312068768688,1.0,0.21772345823116016,0.6996506419498256,0.2995794539335382,0.31666708653982467,0.20216544636139985,0.39748480033006295,0.43758261102687784,0.411583274935677,0.4108901276861879,0.1470252906838867,0.39207160454776935,0.21877314510458445,0.449369314408361
AMZN,0.3264180721693677,0.16160721061867386,0.6433063286116553,0.47298798605335246,0.21772345823116016,1.0,0.19492726115906703,0.18120305105694132,0.21588947131300618,0.584926630614191,0.17973125180665173,0.15624792791710626,0.5962836070200309,0.6845267112012959,0.4243010087988573,0.2189623399403907,0.6117604471909384,0.4610072090092844
PG,0.323358584760334,0.542985886725278,0.26719913426698,0.18873649085827807,0.6996506419498256,0.19492726115906703,1.0,0.22487664187108186,0.23618891104009504,0.17262123037220517,0.3558629983610375,0.4276783471674835,0.36434264538761585,0.379216968040873,0.10650294019944948,0.34227959548182973,0.19212243315073177,0.4202569010635264
XOM,0.5525573032997808,0.29602459251503316,0.282302392581186,0.2796076196725433,0.2995794539335382,0.18120305105694132,0.22487664187108186,1.0,0.8419974772024592,0.21323120065029483,0.29847159184346544,0.2678664106644148,0.31030294524762425,0.26895432452545864,0.16836043052383282,0.2907835395137423,0.1857056555927895,0.442636266987624
CVX,0.6031405477035048,0.3391767660018681,0.3305751325592554,0.35523532578937345,0.31666708653982467,0.21588947131300618,0.23618891104009504,0.8419974772024592,1.0,0.27334325031331214,0.3397417263564715,0.3176371174831649,0.35161703934585364,0.34791709465499143,0.2190803448585851,0.36210361034048455,0.23481160327421594,0.4930915532790853
NVDA,0.3626338837964573,0.12053457275220042,0.5793535532028269,0.6409088275571906,0.20216544636139985,0.584926630614191,0.17262123037220517,0.21323120065029483,0.27334325031331214,1.0,0.20080685098707182,0.14329588353516914,0.5753644923922345,0.6633118052394584,0.44394930431232577,0.23670208180592872,0.527858746940916,0.48266108569699945
